Prompt: Summarize the business model from the following text. Answer with a continuous text and with fivehundredtwelve tokens at max. Set your focus on sources of revenue , the intended customer base , products , distribution channels  and details of financing. Use only information from the following the text:

Item 1 — Business
DEFINITION OF ABBREVIATIONS AND INDUSTRY TERMS

Xcel Energy Inc.’s Subsidiaries and Affiliates (current and former)
Capital Services | Capital Services, LLC 
PUCT regulations require periodic examination of SPS’ fuel and purchased energy costs, the efficient use of fuel and purchased energy, fuel acquisition and management policies and purchased energy commitments. SPS is required to file an application for the PUCT to retrospectively review fuel and purchased energy costs at least every three years. In June 2016, SPS filed its fuel reconciliation application which reconciles fuel and purchased power costs for 2013 through 2015. In February 2017, an unopposed stipulation was reached which resolves all issues in this case. The stipulation is pending PUCT approval, which is expected in the first half of 2017.
Each New Mexico utility operating with a FPPCAC must periodically file an application for continued use. In October 2015, the NMPRC granted SPS authority to continue using its FPPCAC to collect its fuel and purchase power costs. SPS will be required to file a request for continuation of its FPPCAC by October 2019.
SPS recovers fuel and purchased energy costs from its wholesale customers through a monthly wholesale fuel and purchased economic energy cost adjustment clause accepted for filing by the FERC.
Capacity and Demand
Uninterrupted system peak demand for SPS for each of the last three years and the forecast for 2017, assuming normal weather conditions, is as follows:

 | System Peak Demand (in MW)
 | 2014 | 2015 | | 2016 | 2017 Forecast
SPS | 4,871 | | 4,678 | | 4,836 | 4,484

The peak demand for the SPS system typically occurs in the summer. The 2016 system peak demand for SPS occurred on July 13, 2016. The 2016 peak demand increased due to warmer than normal July summer weather. The 2017 forecast assumes normal peak day weather. In addition, the partial requirement contract with Golden Spread ends May 2017, causing a lower 2017 forecast peak demand for SPS.
Energy Sources and Related Transmission Initiatives
SPS expects to use existing electric generating stations, power purchases, DSM and new generation options to meet its system capacity requirements. 
Purchased Power — SPS has contracts to purchase power from other utilities and independent power producers. Long-term purchased power contracts typically require a periodic capacity charge and an energy charge for energy actually purchased. SPS also makes short-term purchases to meet system load and energy requirements, to replace generation from company-owned units under maintenance or during outages, to meet operating reserve obligations or to obtain energy at a lower cost.
Purchased Transmission Services — SPS has contractual arrangements with SPP and regional transmission service providers to deliver power and energy to its native load customers.
High Priority Incremental Load Study Report — In 2014, the SPP Board of Directors approved the High Priority Incremental Load Study Report, a reliability assessment that evaluated the anticipated transmission needs of certain parts of the SPP region resulting from expected load growth. As a result of this study, SPS has received NTCs and conditional NTCs for 44 new transmission projects at an estimated cost of approximately $557 million to be placed into service by 2020. As of Dec. 31, 2016, 16 of these projects have been completed at an original estimated cost of $88 million. SPS is developing plans for the remaining 28 projects and submitting CCNs to the PUCT and the NMPRC. The original estimated cost for these remaining projects is $469 million. These projects are intended to provide regional reliability benefits as well as the ability to serve the increase in load in southeastern New Mexico.
23

TUCO Substation to Yoakum County Substation to Hobbs Plant Substation 345 KV Transmission Line — In March 2016, the PUCT approved SPS’ CCN for the 33-mile Yoakum County to Texas/New Mexico State line portion of this 345 KV line project. A CCN for the 111-mile TUCO to Yoakum County substation segment was filed in June 2016. Assuming approval of this CCN, this segment is scheduled to be in service in 2019. A 36-mile CCN for the Texas/New Mexico state line to Hobbs Plant segment is planned to be filed later in the first quarter of 2017. The estimated project cost for all three segments is approximately $242 million. 
Hobbs Plant Substation to China Draw Substation 345 KV Transmission Line — In November 2016, the NMPRC approved SPS’ CCN for the Hobbs Plant to China Draw transmission line. The estimated project cost is approximately $163 million. The line is anticipated to be in service in 2018.
SPS Resource Plans — SPS was required to develop and implement a renewable portfolio plan by 2015, in which 15 percent of its energy to serve its New Mexico retail customers is produced by renewable resources.  The requirement was met through PPAs, including wind, solar and distributed generation. In 2020, the renewable resource production requirement increases to 20 percent. In addition, SPS indicated that it was evaluating water supply issues at its Tolk facility and if additional investment is required to operate the plant through its existing life. The Ogallala aquifer in this region of the country has depleted more rapidly than expected and SPS is currently seeking a permit for a horizontal well configuration pilot program that could help to delay the need for a more substantial investment solution. As a result of this issue and environmental issues currently facing the plant, SPS is seeking a decrease to the remaining useful life of the facility in its current New Mexico rate case proceeding (see Note 12).
Wholesale Customer Participation in ERCOT — In March 2016, the PUCT Staff requested comments on Lubbock Power & Light’s (LP&L’s) proposal to transition a portion of its load (approximately 430 MW on a peak basis) to the ERCOT in June 2019. LP&L’s proposal would result in an approximate seven percent reduction of load in SPS, or a loss of approximately $18 million in wholesale transmission revenue.  The remaining portion of LP&L’s load (approximately 170 MW) would continue to be served by SPS. Should LP&L join ERCOT, costs to SPS’ remaining customers would increase as SPS’ transmission costs would be spread across a smaller base of customers. 
The PUCT has indicated there will be a two-step process regarding LP&L’s possible transfer to ERCOT. The first step will be a proceeding to determine whether the proposed transfer is in the public interest and to consider certain protections for non-LP&L customers who would be affected by LP&L’s transfer. If the PUCT determines the transfer is in the public interest, the second step will be for LP&L to file a CCN application for transmission facilities to connect with ERCOT. The PUCT asked SPP and ERCOT to perform reliability and economic studies to better understand the implications of LP&L’s proposal. SPS intends to participate in the PUCT’s processes to protect its customers’ interests. 
In May 2016, SPS submitted a filing to the FERC seeking approval to impose an Interconnection Switching Fee (exit fee) associated with LP&L’s proposal.  In September 2016, FERC dismissed SPS’ petition without prejudice to refile, finding the petition premature since LP&L has not made a final decision to move to ERCOT and the terms of the transition have not been determined.
24

Energy Source Statistics

 | Year Ended Dec. 31
 | 2016 | 2015 | | 2014 
SPS | Millions ofKWh | Percent ofGeneration | | Millions ofKWh | Percent ofGeneration | Millions ofKWh | | Percent ofGeneration
Coal | 10,990 | | 39 | % | 12,441 | | 44 | % | 12,770 | 48 | %
Natural Gas | 10,909 | | 38 | | 10,514 | | 36 | | 10,068 | 37 | 
Wind (a) | 6,120 | | 22 | | 5,252 | | 19 | | 3,762 | 14 | 
Other (b) | 347 | | 1 | | 150 | | 1 | | 180 | 1 | 
Total | 28,366 | | 100 | % | 28,357 | | 100 | % | 26,780 | 100 | %
Owned generation | 15,015 | | 53 | % | 16,480 | | 58 | % | 16,956 | 63 | %
Purchased generation | 13,351 | | 47 | | 11,877 | | 42 | | 9,824 | 37 | 
Total | 28,366 | | 100 | % | 28,357 | | 100 | % | 26,780 | 100 | %


(a) | This category includes wind energy de-bundled from RECs and also includes Windsource RECs. SPS uses RECs to meet or exceed state resource requirements and may sell surplus RECs. 


(b) | Distributed generation from the Solar*Rewards program is not included, was approximately 14, 13 and 10 million net KWh for 2016, 2015, and 2014, respectively.

Fuel Supply and Costs
The following table shows the delivered cost per MMBtu of each significant category of fuel consumed for owned electric generation, the percentage of total fuel requirements represented by each category of fuel and the total weighted average cost of all fuels.

 | Coal | | Natural Gas | | WeightedAverage Owned Fuel Cost
SPS Generating Plants | Cost | | Percent | | Cost | | Percent | 
2016 | $ | 2.12 | | | 70 | % | | $ | 2.81 | | 30 | % | $ | 2.32
2015 | 2.12 | | | 73 | | | 3.11 | | | 27 | | 2.39
2014 | 2.07 | | | 71 | | | 4.76 | | | 29 | | 2.85

See Items 1A and 7 for further discussion of fuel supply and costs.
Fuel Sources
Coal — SPS purchases all of the coal requirements for its two coal facilities, Harrington and Tolk electric generating stations, from TUCO. TUCO arranges for the purchase, receiving, transporting, unloading, handling, crushing, weighing and delivery of coal to meet SPS’ requirements. TUCO is responsible for negotiating and administering contracts with coal suppliers, transporters and handlers. The coal supply contract with TUCO expires in December 2017 for both Harrington and Tolk. SPS normally maintains approximately 43 days of coal inventory. As of Dec. 31, 2016 and 2015, coal inventories at SPS were approximately 64 and 76 days supply, respectively. At Dec. 31, 2016, milder weather, purchase commitments and relatively low natural gas prices resulted in coal inventories being above optimal levels. SPS’ generation stations primarily use low-sulfur western coal from mines operating in Wyoming. TUCO has coal agreements to supply 65 percent of SPS’ estimated coal requirements in 2017. SPS’ general coal purchasing objective is to contract for approximately 80 percent of requirements for the first year.
Natural gas — SPS uses both firm and interruptible natural gas supply and standby oil in combustion turbines and certain boilers. Natural gas for SPS’ power plants is procured under contracts to provide an adequate supply of fuel; which typically is purchased with terms of one year or less. The transportation and storage contracts expire in various years from 2017 to 2033. All of the natural gas supply contracts have variable pricing that is tied to various natural gas indices.
Most transportation contract pricing is based on FERC and Railroad Commission of Texas approved transportation tariff rates. Certain natural gas supply and transportation agreements include obligations for the purchase and/or delivery of specified volumes of natural gas or to make payments in lieu of delivery. SPS’ commitments related to gas supply contracts were approximately $17 million and $10 million and commitments related to gas transportation and storage contracts were approximately $161 million and $192 million at Dec. 31, 2016 and 2015, respectively.
25

SPS has limited on-site fuel oil storage facilities and primarily relies on the spot market for incremental supplies.
Renewable Energy Sources
SPS’ renewable energy portfolio includes wind and solar power from both owned generating facilities and PPAs. As of Dec. 31, 2016, SPS is in compliance with mandated RPS, which require generation from renewable resources of 3.7 percent of Texas electric retail sales and 15.0 percent of New Mexico electric retail sales. 
•Renewable energy comprised 22.8 percent and 19.0 percent of SPS’ total energy for 2016 and 2015, respectively; 
•Wind energy comprised 21.6 percent and 18.5 percent of the total energy for 2016 and 2015, respectively; and 
•Solar power comprised approximately 1.2 percent and 0.5 percent of the total energy for 2016 and 2015, respectively.
SPS also offers customer-focused renewable energy initiatives. Windsource allows customers in New Mexico to purchase a portion or all of their electricity from renewable sources. The number of customers utilizing Windsource increased to approximately 900 in 2016 from 880 in 2015. 
Additionally, to encourage the growth of solar energy on the system in New Mexico, customers are offered incentives to install solar panels on their homes and businesses under the Solar*Rewards program. Over 147 PV systems with approximately 8.1 MW of aggregate capacity and over 144 PV systems with approximately 8.0 MW of aggregate capacity have been installed in New Mexico under this program as of Dec. 31, 2016 and 2015, respectively.
Wind — SPS acquires its wind energy from IPP contracts and QF tariffs with wind farm owners, primarily located in the Texas Panhandle area of Texas and New Mexico.  SPS currently has 24 of these agreements in place, with facilities ranging in size from under two MW to 250 MW for a total capacity greater than 1,500 MW. 

• | SPS had approximately 1,500 MW and 1,755 MW of wind energy on its system at the end of 2016 and 2015, respectively. This decrease is primarily due to the timing of supplier contracts expiring. In addition to receiving purchased wind energy under these agreements, SPS also typically receives wind RECs, which are used to meet state renewable resource requirements.


• | The average cost per MWh of wind energy under the IPP contracts and QF tariffs was approximately $25 and $24 for 2016 and 2015, respectively. The cost per MWh of wind energy varies by contract and may be influenced by a number of factors including regulation, state-specific renewable resource requirements and the year of contract execution. Generally, contracts executed in 2016 continued to benefit from improvements in technology, excess capacity among manufacturers, and motivation to commence new construction prior to the anticipated expiration of the federal PTCs. In December 2016, the federal PTCs were extended through 2019 with a phase down beginning in 2017. 

Wholesale and Commodity Marketing Operations
SPS conducts various wholesale marketing operations, including the purchase and sale of electric capacity, energy, ancillary services and energy related products. SPS uses physical and financial instruments to minimize commodity price and credit risk and hedge sales and purchases. See Item 7 for further discussion.
Summary of Recent Federal Regulatory Developments
The FERC has jurisdiction over rates for electric transmission service in interstate commerce and electricity sold at wholesale, hydro facility licensing, natural gas transportation, asset transactions and mergers, accounting practices and certain other activities of Xcel Energy Inc.’s utility subsidiaries and transmission-only subsidiaries, including enforcement of NERC mandatory electric reliability standards. State and local agencies have jurisdiction over many of Xcel Energy Inc.’s utility subsidiaries’ activities, including regulation of retail rates and environmental matters. In addition to the matters discussed below, see Note 12 to the accompanying consolidated financial statements for a discussion of other regulatory matters.
Status of FERC Commissioners — The FERC is comprised of five commissioners appointed by the President and subject to confirmation by the Senate. There are today only two sitting commissioners.  It is uncertain when the President will appoint new commissioners to the open seats or when those appointments may be confirmed.  Without three sitting commissioners, the FERC will not have a quorum to act on contested matters. The lack of a quorum could affect the timing of FERC decisions on proposed rules or pending, newly submitted and future filings involving, among other things, contested electric rate matters and CPCNs for construction of interstate natural gas pipeline facilities to serve the utility subsidiaries. 
26

FERC Order, ROE Policy — The FERC has adopted a two-step ROE methodology for electric utilities. The issue of how to apply the FERC ROE methodology is being contested in various complaint proceedings. There are two ROE complaints against the MISO TOs, which include NSP-Minnesota and NSP-Wisconsin. In September 2016, the FERC issued an order in the first MISO ROE complaint, which upheld the initial decision made by the ALJ in December 2015, establishing an ROE of 10.32 percent for the period Nov. 12, 2013 to Feb. 11, 2015, and prospectively. The second complaint is pending FERC action after issuance of an initial decision by the ALJ in June 2016, recommending an ROE of 9.7 percent for the period Feb. 12, 2015 to May 11, 2016. The FERC is expected to issue an order in the second litigated MISO ROE complaint proceeding during 2017. See Note 12 to the consolidated financial statements for discussion of the MISO ROE Complaints.
NERC Critical Infrastructure Protection Requirements — The FERC has approved Version 5 of NERC’s critical infrastructure protection standards, which added additional requirements to strengthen grid security controls. Xcel Energy applied the requirements to high and medium impact assets by the July 1, 2016 deadline. Requirements must be applied to low impact assets through a staggered implementation beginning April 1, 2017 through September 2018. Xcel Energy is currently in the process of implementing initiatives to meet the compliance deadline. The additional cost for compliance is anticipated to be recoverable through rates.
NERC Physical Security Requirements — In 2014, the FERC approved NERC’s proposed critical infrastructure protection standard related to physical security for bulk electric system facilities. The new standard became enforceable in October 2015 with staggered milestone deliverable dates through 2016. Xcel Energy has developed physical security plans in accordance with the requirements of the standard. The additional cost for compliance is anticipated to be recoverable through rates.
Formula Rate Treatment of Accumulated Deferred Income Taxes (ADIT) — In 2015, NSP-Minnesota, NSP-Wisconsin, SPS and PSCo filed changes to their transmission formula rates and PSCo filed changes to its production formula rate to comply with IRS guidance regarding how ADIT must be reflected in formula rates using future test years and a true-up. The filings were intended to ensure that NSP-Minnesota, NSP-Wisconsin, PSCo and SPS are in compliance with IRS rules and may continue to use accelerated tax depreciation. Each filing requested a Jan. 1, 2016 effective date.
In 2015, the FERC partially accepted and partially rejected the proposed NSP-Minnesota and NSP-Wisconsin transmission formula rate changes. In September 2016, the FERC clarified their order, but required NSP-Minnesota and NSP-Wisconsin to submit a new tariff change filing to implement the treatment of ADIT in the formula rate true-up. In November 2016, NSP-Minnesota and NSP-Wisconsin filed the changes proposing a Jan. 1, 2017 effective date, but requesting authority to calculate the 2016 true-up pursuant to the new ADIT tariff provisions. In December 2016, the FERC issued an order which approved the tariff revisions, effective Jan. 1, 2017, but rejected the portion of their application related to the 2016 true-up. 
In April 2016, the FERC accepted the SPS and PSCo ADIT formula rate changes, effective Jan. 1, 2016, subject to a compliance filing. In August 2016, the FERC approved PSCo and SPS’ compliance filings. 
Xcel Energy believes its wholesale formula rates are in compliance with the IRS ADIT rules.
Public Utility Regulatory Policies Act (PURPA) Enforcement Complaint against CPUC — In December 2016, Sustainable Power Group, LLC (sPower) petitioned the FERC to initiate an enforcement action in federal court against the CPUC under PURPA. The petition asserts that a December 2016 CPUC ruling, which indicated that a QF must be a successful bidder in a PSCo resource acquisition bidding process, violated PURPA and FERC rules. In January 2017, PSCo filed a motion to intervene and protest, arguing that the FERC should decline the petition. The CPUC filed a similar pleading. sPower has proposed to construct 800 MW of solar generation and 700 MW of wind generation in Colorado and seeks to require PSCo to contract for these resources under PURPA. If sPower were to prevail, PSCo’s ability to select generation resources through competitive bidding would be negatively affected. FERC action is pending.
27

Electric Operating Statistics
Electric Sales Statistics
 | Year Ended Dec. 31
 | 2016 | | 2015 | | 2014
Electric sales (Millions of KWh) | | | | | 
Residential | 24,726 | | | 24,498 | | | 24,857 
Large C&I | 27,664 | | | 27,719 | | | 27,657 
Small C&I | 35,830 | | | 35,806 | | | 36,022 
Public authorities and other | 1,103 | | | 1,071 | | | 1,104 
Total retail | 89,323 | | | 89,094 | | | 89,640 
Sales for resale | 18,694 | | | 15,283 | | | 14,931 
Total energy sold | 108,017 | | | 104,377 | | | 104,571 
Number of customers at end of period | | | | | 
Residential | 3,053,732 | | | 3,023,494 | | | 2,994,075
Large C&I | 1,228 | | | 1,229 | | | 1,128 
Small C&I | 432,012 | | | 429,617 | | | 426,289 
Public authorities and other | 68,935 | | | 68,595 | | | 68,306 
Total retail | 3,555,907 | | | 3,522,935 | | | 3,489,798
Wholesale | 52 | | | 47 | | | 44 
Total customers | 3,555,959 | | | 3,522,982 | | | 3,489,842
Electric revenues (Thousands of Dollars) | | | | | 
Residential | $ | 2,965,681 | | | $ | 2,891,371 | | $ | 2,956,576 | 
Large C&I | 1,706,546 | | | 1,689,695 | | | 1,789,742
Small C&I | 3,327,562 | | | 3,303,838 | | | 3,382,750
Public authorities and other | 140,464 | | | 136,730 | | | 143,442 
Total retail | 8,140,253 | | | 8,021,634 | | | 8,272,510
Wholesale | 693,101 | | | 660,590 | | | 795,425 
Other electric revenues | 666,427 | | | 593,762 | | | 397,955 
Total electric revenues | $ | 9,499,781 | | | $ | 9,275,986 | | $ | 9,465,890 | 
KWh sales per retail customer | 25,120 | | | 25,290 | | | 25,686 
Revenue per retail customer | $ | 2,289 | | | $ | 2,277 | | $ | 2,370 | 
Residential revenue per KWh | | 11.99 | ¢ | | | 11.80 | ¢ | | 11.89 | ¢
Large C&I revenue per KWh | 6.17 | | | 6.10 | | | 6.47 
Small C&I revenue per KWh | 9.29 | | | 9.23 | | | 9.39 
Total retail revenue per KWh | 9.11 | | | 9.00 | | | 9.23 
Wholesale revenue per KWh | 3.71 | | | 4.32 | | | 5.33 

28

Energy Source Statistics
 | Year Ended Dec. 31
 | 2016 | 2015 | | 2014 
Xcel Energy | Millions ofKWh | Percent ofGeneration | | Millions ofKWh | Percent ofGeneration | Millions ofKWh | | Percent ofGeneration
Coal | 40,566 | | 36 | % | 47,003 | | 43 | % | 49,123 | 46 | %
Natural Gas | 27,351 | | 25 | | 25,151 | | 23 | | 22,071 | 21 | 
Wind (a) | 22,123 | | 20 | | 18,186 | | 17 | | 16,478 | 15 | 
Nuclear | 14,191 | | 13 | | 12,895 | | 12 | | 13,503 | 12 | 
Hydroelectric | 4,435 | | 4 | | 4,001 | | 4 | | 4,203 | 4 | 
Other (b) | 2,167 | | 2 | | 1,456 | | 1 | | 1,795 | 2 | 
Total | 110,833 | | 100 | % | 108,692 | | 100 | % | 107,173 | 100 | %
Owned generation | 74,149 | | 67 | % | 73,279 | | 67 | % | 73,620 | 69 | %
Purchased generation | 36,684 | | 33 | | 35,413 | | 33 | | 33,553 | 31 | 
Total | 110,833 | | 100 | % | 108,692 | | 100 | % | 107,173 | 100 | %


(a) | This category includes wind energy de-bundled from RECs and also includes Windsource RECs. Xcel Energy uses RECs to meet or exceed state resource requirements and may sell surplus RECs. 


(b) | Includes energy from other sources, including solar, biomass, oil and refuse. Distributed generation from the Solar*Rewards program is not included, and was approximately 430, 266 and 222 million net KWh for 2016, 2015 and 2014, respectively. 

NATURAL GAS UTILITY OPERATIONS
Overview
The most significant developments in the natural gas operations of the utility subsidiaries are uncertainty regarding political and regulatory developments that impact hydraulic fracturing, safety requirements for natural gas pipelines and the continued trend of declining use per residential and small C&I customer, as a result of improved building construction technologies, higher appliance efficiencies and conservation. From 2000 to 2016, average annual sales to the typical residential customer declined 18 percent, while sales to the typical small C&I customer declined 12 percent, each on a weather-normalized basis. Although wholesale price increases do not directly affect earnings because of natural gas cost-recovery mechanisms, high prices can encourage further efficiency efforts by customers.
The Pipeline and Hazardous Materials Safety Administration
Protecting our Infrastructure of Pipelines and Enhancing Safety Act (PIPES) Act — The PIPES Act, signed into law in June 2016, requires the DOT PHMSA to issue regulations on the construction and operation of the nation’s underground gas storage fields. The act also grants PHMSA emergency order authority for pipeline operators, which would require operators to make immediate changes to assets or operations. The act also directs PHMSA to continue work on a variety of mandates from the 2012 Pipeline Safety, Regulatory Certainty, and Job Creation Act (Pipeline Safety Act), many of which have not been completed.
PHMSA issued interim final rules for underground storage operators in December 2016. PSCo operates three underground storage fields in Colorado and PSCo is developing a plan to meet the storage rules. PSCo does not expect these changes to have a material impact on costs or operating reliability.
Pipeline Safety Act — The Pipeline Safety Act requires additional verification of pipeline infrastructure records by pipeline owners and operators to confirm the maximum allowable operating pressure of lines located in high consequence areas or more-densely populated areas. The DOT PHMSA will require operators to re-confirm the maximum allowable operating pressure if records are inadequate. This process could cause temporary or permanent limitations on throughput for affected pipelines.
29

In addition, the Pipeline Safety Act requires PHMSA to issue reports and develop new regulations including: requiring use of automatic or remote-controlled shut-off valves; requiring testing of certain previously untested transmission lines; and expanding integrity management requirements. The Pipeline Safety Act also raises the maximum penalty for violating pipeline safety rules to $2 million per day for related violations. Xcel Energy is taking actions that are intended to comply with the Pipeline Safety Act and any related PHMSA regulations as they become effective. Xcel Energy cannot predict the ultimate impact the Pipeline Safety Act will have on its costs, operations or financial results. PSCo and NSP-Minnesota can generally recover costs to comply with the transmission and distribution integrity management programs through the PSIA and GUIC riders, respectively.
NSP-Minnesota
Public Utility Regulation
Summary of Regulatory Agencies and Areas of Jurisdiction — Retail rates, services and other aspects of NSP-Minnesota’s retail natural gas operations are regulated by the MPUC and the NDPSC within their respective states. The MPUC has regulatory authority over security issuances, certain property transfers, mergers with other utilities and transactions between NSP-Minnesota and its affiliates. In addition, the MPUC reviews and approves NSP-Minnesota’s natural gas supply plans for meeting customers’ future energy needs. NSP-Minnesota is subject to the jurisdiction of the FERC with respect to certain natural gas transactions in interstate commerce. NSP-Minnesota is subject to the DOT, the Minnesota Office of Pipeline Safety, the NDPSC and the SDPUC for pipeline safety compliance, including pipeline facilities used in electric utility operations for fuel deliveries.
Purchased Gas and Conservation Cost-Recovery Mechanisms — NSP-Minnesota’s retail natural gas rates for Minnesota and North Dakota include a PGA clause that provides for prospective monthly rate adjustments to reflect the forecasted cost of purchased natural gas, transportation service and storage service. The annual difference between the natural gas cost revenues collected through PGA rates and the actual natural gas costs is collected or refunded over the subsequent 12-month period. 
NSP-Minnesota also recovers costs associated with transmission and distribution pipeline integrity management programs through its GUIC rider. Costs recoverable under the GUIC rider include funding for pipeline assessments as well as deferred costs from NSP-Minnesota’s existing sewer separation and pipeline integrity management programs. The MPUC and NDPSC have the authority to disallow recovery of certain costs if they find the utility was not prudent in its procurement activities.
Minnesota state law requires utilities to invest 0.5 percent of their state natural gas revenues in CIP. These costs are recovered through customer base rates and an annual cost-recovery mechanism for the CIP expenditures.
Capability and Demand
Natural gas supply requirements are categorized as firm or interruptible (customers with an alternate energy supply). The maximum daily send-out (firm and interruptible) for NSP-Minnesota was 800,232 MMBtu, which occurred on Jan. 18, 2016 and 774,044 MMBtu, which occurred on Jan. 12, 2015.
NSP-Minnesota purchases natural gas from independent suppliers, generally based on market indices that reflect current prices. The natural gas is delivered under transportation agreements with interstate pipelines. These agreements provide for firm deliverable pipeline capacity of 624,123 MMBtu per day. In addition, NSP-Minnesota contracts with providers of underground natural gas storage services. These agreements provide storage for approximately 26 percent of winter natural gas requirements and 29 percent of peak day firm requirements of NSP-Minnesota.
NSP-Minnesota also owns and operates one LNG plant with a storage capacity of 2.0 Bcf equivalent and three propane-air plants with a storage capacity of 1.3 Bcf equivalent to help meet its peak requirements. These peak-shaving facilities have production capacity equivalent to 246,000 MMBtu of natural gas per day, or approximately 30 percent of peak day firm requirements. LNG and propane-air plants provide a cost-effective alternative to annual fixed pipeline transportation charges to meet the peaks caused by firm space heating demand on extremely cold winter days.
NSP-Minnesota is required to file for a change in natural gas supply contract levels to meet peak demand, to redistribute demand costs among classes, or to exchange one form of demand for another. In February 2016, the MPUC approved NSP-Minnesota’s contract demand levels for the 2015 through 2016 heating season. Demand levels for the 2016 through 2017 heating season were approved by the MPUC in February 2017.
30

Natural Gas Supply and Costs
NSP-Minnesota actively seeks natural gas supply, transportation and storage alternatives to yield a diversified portfolio that provides increased flexibility, decreased interruption and financial risk and economical rates. In addition, NSP-Minnesota conducts natural gas price hedging activity that has been approved by the MPUC.
The following table summarizes the average delivered cost per MMBtu of natural gas purchased for resale by NSP-Minnesota’s regulated retail natural gas distribution business:

2016 | $ | 3.47
2015 | 4.07 | 
2014 | 6.17 | 

The cost of natural gas in 2016 decreased due to lower wholesale commodity prices.
NSP-Minnesota has firm natural gas transportation contracts with several pipelines, which expire in various years from 2017 through 2033.
NSP-Minnesota has certain natural gas supply, transportation and storage agreements that include obligations for the purchase and/or delivery of specified volumes of natural gas or to make payments in lieu of delivery. At Dec. 31, 2016, NSP-Minnesota was committed to approximately $528 million in such obligations under these contracts.
NSP-Minnesota purchases firm natural gas supply utilizing long-term and short-term agreements from approximately 29 domestic and Canadian suppliers. This diversity of suppliers and contract lengths allows NSP-Minnesota to maintain competition from suppliers and minimize supply costs.
See Items 1A and 7 for further discussion of natural gas supply and costs.
NSP-Wisconsin
Public Utility Regulation
Summary of Regulatory Agencies and Areas of Jurisdiction — NSP-Wisconsin is regulated by the PSCW and the MPSC. The PSCW has a biennial base-rate filing requirement. By June of each odd-numbered year, NSP-Wisconsin must submit a rate filing for the test year period beginning the following January. NSP-Wisconsin is subject to the jurisdiction of the FERC with respect to certain natural gas transactions in interstate commerce. NSP-Wisconsin is subject to the DOT, the PSCW and the MPSC for pipeline safety compliance.
Natural Gas Cost-Recovery Mechanisms — NSP-Wisconsin has a retail PGA cost-recovery mechanism for Wisconsin operations to recover the actual cost of natural gas and transportation and storage services. The PSCW has the authority to disallow certain costs if it finds NSP-Wisconsin was not prudent in its procurement activities.
NSP-Wisconsin’s natural gas rate schedules for Michigan customers include a natural gas cost-recovery factor, which is based on 12-month projections.
Capability and Demand
Natural gas supply requirements are categorized as firm or interruptible (customers with an alternate energy supply). The maximum daily send-out (firm and interruptible) for NSP-Wisconsin was 155,583 MMBtu, which occurred on Jan. 18, 2016, and 158,719 MMBtu, which occurred on Jan. 7, 2015.
NSP-Wisconsin purchases natural gas from independent suppliers, generally based on market indices that reflect current prices. The natural gas is delivered under transportation agreements with interstate pipelines. These agreements provide for firm deliverable pipeline capacity of approximately 140,143 MMBtu per day. In addition, NSP-Wisconsin contracts with providers of underground natural gas storage services. These agreements provide storage for approximately 32 percent of winter natural gas requirements and 34 percent of peak day firm requirements of NSP-Wisconsin.
31

NSP-Wisconsin also owns and operates one LNG plant with a storage capacity of 270,000 Mcf equivalent and one propane-air plant with a storage capacity of 2,700 Mcf equivalent to help meet its peak requirements. These peak-shaving facilities have production capacity equivalent to 18,408 MMBtu of natural gas per day, or approximately 12 percent of peak day firm requirements. LNG and propane-air plants provide a cost-effective alternative to annual fixed pipeline transportation charges to meet the peaks caused by firm space heating demand on extremely cold winter days.
NSP-Wisconsin is required to file a natural gas supply plan with the PSCW annually to change natural gas supply contract levels to meet peak demand. NSP-Wisconsin’s winter 2016-2017 supply plan was approved by the PSCW in October 2016.
Natural Gas Supply and Costs
NSP-Wisconsin actively seeks natural gas supply, transportation and storage alternatives to yield a diversified portfolio that provides increased flexibility, decreased interruption and financial risk and economical rates. In addition, NSP-Wisconsin conducts natural gas price hedging activity that has been approved by the PSCW.
The following table summarizes the average delivered cost per MMBtu of natural gas purchased for resale by NSP-Wisconsin’s regulated retail natural gas distribution business:

2016 | $ | 3.62
2015 | 4.11 | 
2014 | 6.52 | 

The cost of natural gas in 2016 decreased due to lower wholesale commodity prices.
The cost of natural gas supply, transportation service and storage service is recovered through various cost-recovery adjustment mechanisms. NSP-Wisconsin has firm natural gas transportation contracts with several pipelines, which expire in various years from 2017 through 2029.
NSP-Wisconsin has certain natural gas supply, transportation and storage agreements that include obligations for the purchase and/or delivery of specified volumes of natural gas or to make payments in lieu of delivery. At Dec. 31, 2016, NSP-Wisconsin was committed to approximately $103 million in such obligations under these contracts.
NSP-Wisconsin purchased firm natural gas supply utilizing long-term and short-term agreements from approximately nine domestic and Canadian suppliers. This diversity of suppliers and contract lengths allows NSP-Wisconsin to maintain competition from suppliers and minimize supply costs.
See Items 1A and 7 for further discussion of natural gas supply and costs.
PSCo
Public Utility Regulation
Summary of Regulatory Agencies and Areas of Jurisdiction — PSCo is regulated by the CPUC with respect to its facilities, rates, accounts, services and issuance of securities. PSCo holds a FERC certificate that allows it to transport natural gas in interstate commerce without PSCo becoming subject to full FERC jurisdiction under the Federal Natural Gas Act. PSCo is subject to the DOT and the CPUC with regards to pipeline safety compliance.
